사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
2018-05,1호선,0150,서울역,1461377,1425288,230474,226668,2018-06-03 12:32:49
2018-05,1호선,0151,시청,661526,657566,98996,97886,2018-06-03 12:32:49
2018-05,1호선,0152,종각,1181827,1114841,165112,155377,2018-06-03 12:32:49
2018-05,1호선,0153,종로3가,698084,640950,389914,362722,2018-06-03 12:32:49
2018-05,1호선,0154,종로5가,538824,548201,294157,282348,2018-06-03 12:32:49
2018-05,1호선,0155,동대문,345200,393666,143836,150932,2018-06-03 12:32:49
2018-05,1호선,0156,신설동,378709,370725,126830,123295,2018-06-03 12:32:49
2018-05,1호선,0157,제기동,300639,293913,346736,368445,2018-06-03 12:32:49
2018-05,1호선,0158,청량리(서울시립대입구),510062,535905,333179,337733,2018-06-03 12:32:49
2018-05,1호선,0159,동묘앞,181775,197823,155989,158013,2018-06-03 12:32:49
2018-05,2호선,0201,시청,686940,664119,60258,55324,2018-06-03 12:32:49
2018-05,2호선,0202,을지로입구,1407421,1398140,117649,108861,2018-06-03 12:32:49
2018-05,2호선,0203,을지로3가,562387,547337,91331,91080,2018-06-03 12:32:49
2018-05,2호선,0204,을지로4가,294823,295375,97669,93827,2018-06-03 12:32:49
2018-05,2호선,0205,동대문역사문화공원,537265,616883,64590,69828,2018-06-03 12:32:49
2018-05,2호선,0206,신당,371850,388926,108234,110090,2018-06-03 12:32:49
2018-05,2호선,0207,상왕십리,374919,352867,70694,71869,2018-06-03 12:32:49
2018-05,2호선,0208,왕십리(성동구청),579489,461517,60871,51717,2018-06-03 12:32:49
2018-05,2호선,0209,한양대,411184,486136,16539,17792,2018-06-03 12:32:49
2018-05,2호선,0210,뚝섬,476425,510726,67462,67897,2018-06-03 12:32:49
2018-05,2호선,0211,성수,724640,798664,111356,113681,2018-06-03 12:32:49
2018-05,2호선,0212,건대입구,1391432,1522896,101256,106415,2018-06-03 12:32:49
2018-05,2호선,0213,구의(광진구청),639040,615083,109680,111513,2018-06-03 12:32:49
2018-05,2호선,0214,강변(동서울터미널),1335767,1320412,155330,151345,2018-06-03 12:32:49
2018-05,2호선,0215,잠실나루,445934,427509,94993,95884,2018-06-03 12:32:49
2018-05,2호선,0216,잠실(송파구청),2561842,2423017,245676,230863,2018-06-03 12:32:49
2018-05,2호선,0217,잠실새내,719741,733490,127075,125401,2018-06-03 12:32:49
2018-05,2호선,0218,종합운동장,561658,647944,65567,70735,2018-06-03 12:32:49
2018-05,2호선,0219,삼성(무역센터),1674189,1729143,128137,119943,2018-06-03 12:32:49
2018-05,2호선,0220,선릉,1451512,1245341,215416,187280,2018-06-03 12:32:49
2018-05,2호선,0221,역삼,1230287,1377594,153224,156591,2018-06-03 12:32:49
2018-05,2호선,0222,강남,2915639,2963558,177181,159159,2018-06-03 12:32:49
2018-05,2호선,0223,교대(법원.검찰청),954395,1084402,168025,187699,2018-06-03 12:32:49
2018-05,2호선,0224,서초,608358,606473,90464,91334,2018-06-03 12:32:49
2018-05,2호선,0225,방배,581762,598776,84371,83846,2018-06-03 12:32:49
2018-05,2호선,0226,사당,1076905,1345626,210906,204010,2018-06-03 12:32:49
2018-05,2호선,0227,낙성대,845597,807415,117396,118879,2018-06-03 12:32:49
2018-05,2호선,0228,서울대입구(관악구청),1487611,1438004,216361,209331,2018-06-03 12:32:49
2018-05,2호선,0229,봉천,596436,536889,156219,157331,2018-06-03 12:32:49
2018-05,2호선,0230,신림,1955687,1902132,253495,260176,2018-06-03 12:32:49
2018-05,2호선,0231,신대방,784441,732818,140986,142860,2018-06-03 12:32:49
2018-05,2호선,0232,구로디지털단지,1764337,1753688,177987,180441,2018-06-03 12:32:49
2018-05,2호선,0233,대림(구로구청),822694,846561,122003,126872,2018-06-03 12:32:49
2018-05,2호선,0234,신도림,1645745,1647085,213109,204647,2018-06-03 12:32:49
2018-05,2호선,0235,문래,512930,522285,87818,87662,2018-06-03 12:32:49
2018-05,2호선,0236,영등포구청,566091,577624,107200,106189,2018-06-03 12:32:49
2018-05,2호선,0237,당산,596623,677872,71711,78118,2018-06-03 12:32:49
2018-05,2호선,0238,합정,958698,1044731,77414,78895,2018-06-03 12:32:49
2018-05,2호선,0239,홍대입구,2427700,2598443,119746,116691,2018-06-03 12:32:49
2018-05,2호선,0240,신촌,1421635,1460389,144952,144670,2018-06-03 12:32:49
2018-05,2호선,0241,이대,611373,655495,69373,70490,2018-06-03 12:32:49
2018-05,2호선,0242,아현,276475,266335,68131,67679,2018-06-03 12:32:49
2018-05,2호선,0243,충정로(경기대입구),294417,318543,55138,54725,2018-06-03 12:32:49
2018-05,2호선,0244,용답,72065,74347,17616,17543,2018-06-03 12:32:49
2018-05,2호선,0245,신답,33893,38146,10744,11672,2018-06-03 12:32:49
2018-05,2호선,0246,신설동,99767,93675,37684,38968,2018-06-03 12:32:49
2018-05,2호선,0247,도림천,28196,31785,6479,7184,2018-06-03 12:32:49
2018-05,2호선,0248,양천구청,174879,183023,47335,48711,2018-06-03 12:32:49
2018-05,2호선,0249,신정네거리,240853,245730,68951,70104,2018-06-03 12:32:49
2018-05,2호선,0250,용두(동대문구청),49812,49973,23834,25382,2018-06-03 12:32:49
2018-05,3호선,0309,지축,30236,32413,12311,14758,2018-06-03 12:32:49
2018-05,3호선,0310,구파발,556206,514897,110434,104887,2018-06-03 12:32:49
2018-05,3호선,0311,연신내,1075132,1006852,287351,277044,2018-06-03 12:32:49
2018-05,3호선,0312,불광,461377,507008,159064,175118,2018-06-03 12:32:49
2018-05,3호선,0313,녹번,347224,294039,68342,66638,2018-06-03 12:32:49
2018-05,3호선,0314,홍제,484062,454297,159548,158150,2018-06-03 12:32:49
2018-05,3호선,0315,무악재,94226,96570,33108,35521,2018-06-03 12:32:49
2018-05,3호선,0316,독립문,196461,209043,81408,82691,2018-06-03 12:32:49
2018-05,3호선,0317,경복궁(정부서울청사),755543,788116,99587,96793,2018-06-03 12:32:49
2018-05,3호선,0318,안국,720695,766236,134914,146723,2018-06-03 12:32:49
2018-05,3호선,0319,종로3가,235548,344161,61850,72647,2018-06-03 12:32:49
2018-05,3호선,0320,을지로3가,250700,271484,61113,60406,2018-06-03 12:32:49
2018-05,3호선,0321,충무로,70,0,3,0,2018-06-03 12:32:49
2018-05,3호선,0322,동대입구,370196,429750,44034,47015,2018-06-03 12:32:49
2018-05,3호선,0323,약수,363226,349994,91883,88764,2018-06-03 12:32:49
2018-05,3호선,0324,금호,218691,196149,61041,60109,2018-06-03 12:32:49
